_id,container_id,receptacle_model_id,address,zip,neighborhood
315057,381,74,501 Alter St,15106,East Carnegie
315058,382,74,234 Shiloh Street,15211,Mount Washington
315059,383,74,2855 Chartiers Ave,15204,Sheraden
315060,384,74,1330 Hassler Street,15220,Elliott
315061,385,74,2966 Chartiers Ave,15204,Sheraden
315062,386,74,5 Grandview Avenue,15211,Mount Washington
315063,387,74,3032 Chartiers Ave,15204,Sheraden
315064,388,74,131 Shiloh Street,15211,Mount Washington
315065,389,74,1036 Chartiers Ave,15220,Elliott
315066,390,74,1550 Beechview Avenue,15216,Beechview
315067,391,74,649 Hillsboro Street,15204,Sheraden
315068,392,74,3636 Boulevard of the Allies,15213,Central Oakland
315069,393,74,2912 Sheraden Blvd,15204,Sheraden
315070,394,74,1137 Brownsville Rd,15210,Carrick
315071,395,74,7113 Reynolds Street,15208,Point Breeze
315072,396,74,930 Chartiers Ave,15220,Elliott
315073,397,74,1835 Centre Ave,15219,Crawford-Roberts
315074,399,74,341 South Bouquet Street,15213,Central Oakland
315075,401,74,518 Brownsville Rd,15210,Knoxville
315076,402,74,1141 North Highland Avenue,15206,Highland Park
315077,403,74,1000 Chartiers Ave,15220,Elliott
315078,404,74,201 South Highland Avenue,15206,Shadyside
315079,405,74,235 South Highland Avenue,15206,Shadyside
315080,407,74,1101 Brownsville Rd,15210,Carrick
315081,408,74,301 South Negley Avenue,15232,East Liberty
315082,409,74,5865 Ellsworth Avenue,15232,Shadyside
315083,410,74,5842 Ellsworth Avenue,15232,Shadyside
315084,413,74,3900 Perrysville Ave,15214,Perry North
315085,414,74,525 North Shore Drive,15212,North Shore
315086,416,74,3300 Brighton Road,15212,Brighton Heights
315087,417,74,20 East General Robinson Street,15212,North Shore
315088,418,74,100 Mazeroski Way,15212,North Shore
315089,419,74,525 North Shore Drive,15212,North Shore
315090,420,74,419 North Shore Drive,15212,North Shore
315091,421,74,103 Federal St,15212,North Shore
315092,422,74,1808 Penn Ave,15222,Strip District
